"","prediction.score.Endothelial.Cell","prediction.score.Thick.Ascending.Limb","prediction.score.Distal.Convoluted.Tubule","prediction.score.Proximal.Tubule","prediction.score.Connecting.Tubule","prediction.score.Principal.Cells","prediction.score.Intercalated.Cells.Type.A","prediction.score.Intercalated.Cells.Type.B","prediction.score.Mesangial.Cells","prediction.score.Leukocyte","prediction.score.max"
"676",0,0.179162705170696,0.15277214716434,0.362602916276847,0.0306654373981252,0.155946797881952,0,0,0,0.118849996108039,0.362602916276847
"677",0,0.0757305299744901,0,0.92426947002551,0,0,0,0,0,0,0.92426947002551
"678",0,0.0890196862914822,0.209068682624186,0.0877405304928597,0.312096910649197,0.287875029716606,0,0.0141991602256689,0,0,0.312096910649197
"679",0.00447013249965018,0.0210459523860682,0.0224197869704979,0.918133545108525,0,0.018260158070122,0,0.014923992596665,0,0.000746432368472168,0.918133545108525
"680",0.0108490401036694,0.111399660858668,0,0.240273464972,0.0175493851278947,0.0442839399268046,0.318178131738628,0.0173579733396815,0.112177487531525,0.127930916401129,0.318178131738628
"681",0,0.053825499583624,0.0108755450879281,0.0331941373711446,0,0.00745523902473478,0.13007726681276,0.764572312119808,0,0,0.764572312119808
"682",0.625303183347317,0.0129818058303287,0,0,0,0.326027810550568,0.00516496025227193,0.0155774043773311,0,0.014944835642183,0.625303183347317
"683",0,0.0327864893791509,0.345850277587571,0.0776888640187394,0.52851695649451,0.010570557417588,0,0.00458685510244105,0,0,0.52851695649451
"684",0,0.0579278345778507,0,0.0914660558664473,0.0391117974504565,0.778354156883785,0,0.0231988786208303,0,0.00994127660063015,0.778354156883785
"685",0,0.408354234981625,0.0140704709703277,0.371133856090638,0,0,0.0453621324353651,0,0.0354799390491542,0.12559936647289,0.408354234981625
"686",0,0.966921812975334,0,0,0.0330781870246665,0,0,0,0,0,0.966921812975334
"687",0.281892034560517,0.0509161745933508,0,0.47686897274592,0.00976080544185323,0.0557212632829503,0,0.0410807713649307,0.0580492294692397,0.0257107485412388,0.47686897274592
"688",0,0.655879921679825,0,0.344120078320175,0,0,0,0,0,0,0.655879921679825
"689",0.277310762677324,0.128895485841397,0,0.523070725814193,0,0,0,0,0,0.0707230256670864,0.523070725814193
"690",0,0.0435451711893514,0,0.943001467509699,0,0.00663399042275685,0.00681937087819291,0,0,0,0.943001467509699
"691",0,1,0,0,0,0,0,0,0,0,1
"692",0,0.000507904621379252,0,0,0,0.99949209537862,0,0,0,0,0.99949209537862
"693",0,0,0.00321422577421575,0,0,0.996785774225784,0,0,0,0,0.996785774225784
"694",0.684051637345941,0.106250143338977,0.11384243526292,0.0356652005597501,0.00241320971681528,0.0141073140871859,0,0.042500234040742,0,0.00116982564766868,0.684051637345941
"695",0,0.959015185949671,0,0.0124857857709647,0,0,0,0,0,0.0284990282793643,0.959015185949671
"696",0.000841513953882495,0.192554844674901,0,0.352174283793788,0.016082033138918,0.0910904579237427,0.0372082705406678,0.136793784699591,0,0.173254811274508,0.352174283793788
"697",0.108076849593971,0.116703810753268,0,0.105097518107904,0.0288235111657372,0.574790645625976,0,0.0556520857065951,0,0.0108555790465489,0.574790645625976
"698",0,0.00959640248748387,0,0,0.0081493902848603,0.982254207227656,0,0,0,0,0.982254207227656
"699",0,0.0521500398652604,0,0.932636125472857,0,0.0110661717035094,0,0.00414766295837351,0,0,0.932636125472857
"700",0,0.0156570797877547,0,0,0.0156570797877547,0.960716710930029,0,0,0,0.00796912949446173,0.960716710930029
"701",0.775102484770557,0.0255962918519624,0,0,0.0088582647638374,0.149222213105171,0,0.0279366096359624,0,0.0132841358725099,0.775102484770557
"702",0.00632809189386045,0.0943069607874675,0.0388274306870497,0.790880568976958,0.00279769882823062,0.00330811077492064,0.0624940728206972,0,0,0.00105706523081592,0.790880568976958
"703",0,0.0129391733637869,0,0.970357718552908,0,0,0.0167031080833048,0,0,0,0.970357718552908
"704",0.0608335704414215,0.0174281624602146,0,0.897774044484793,0,0,0,0,0.0239642226135707,0,0.897774044484793
"705",0.141967217513497,0.219051488459497,0.324753624129588,0.120204645287312,0,0.0135430275887217,0,0.0335445749200027,0,0.146935422101381,0.324753624129588
"706",0.697566946458966,0.0725683887398595,0.0385315432132919,0.103995986617522,0.0176971410581141,0.016001503999935,0,0,0.0324198655010114,0.0212186244113002,0.697566946458966
"707",0,1,0,0,0,0,0,0,0,0,1
"708",0,0,0,0,0,1,0,0,0,0,1
"709",0,1,0,0,0,0,0,0,0,0,1
